gregorian calendar dates,persian calander dates,first price recorded on the day,lowest price recorded on the day,highest price recorded during the day,last price recorded on the day
2011/11/27,1390/09/06,13700,13700,13700,13700
2011/11/28,1390/09/07,13440,13440,13440,13440
2011/11/29,1390/09/08,13350,13350,13350,13350
2011/11/30,1390/09/09,13400,13400,13400,13400
2011/12/01,1390/09/10,13500,13500,13500,13500
2011/12/03,1390/09/12,13650,13650,13650,13650
2011/12/04,1390/09/13,13610,13610,13610,13610
2011/12/07,1390/09/16,13650,13650,13650,13650
2011/12/08,1390/09/17,13550,13550,13550,13550
2011/12/10,1390/09/19,13450,13450,13450,13450
2011/12/11,1390/09/20,13450,13450,13450,13450
2011/12/12,1390/09/21,13530,13530,13530,13530
2011/12/13,1390/09/22,13630,13630,13630,13630
2011/12/14,1390/09/23,13770,13770,13770,13770
2011/12/15,1390/09/24,13710,13710,13710,13710
2011/12/17,1390/09/26,13840,13840,13840,13840
2011/12/18,1390/09/27,14080,14080,14080,14080
2011/12/19,1390/09/28,14500,14500,14500,14500
2011/12/20,1390/09/29,15300,15300,15300,15300
2011/12/21,1390/09/30,15150,15150,15150,15150
2011/12/22,1390/10/01,14230,14230,14230,14230
2011/12/24,1390/10/03,14350,14350,14350,14350
2011/12/25,1390/10/04,14800,14800,14800,14800
2011/12/26,1390/10/05,15250,15250,15250,15250
2011/12/27,1390/10/06,15150,15150,15150,15150
2011/12/28,1390/10/07,15200,15200,15200,15200
2011/12/29,1390/10/08,15220,15220,15220,15220
2011/12/31,1390/10/10,15550,15550,15550,15550
2012/01/01,1390/10/11,15900,15900,15900,15900
2012/01/02,1390/10/12,17400,17400,17400,17400
2012/01/03,1390/10/13,16200,16200,16200,16200
2012/01/04,1390/10/14,15800,15800,15800,15800
2012/01/05,1390/10/15,15980,15980,15980,15980
2012/01/07,1390/10/17,15970,15970,15970,15970
2012/01/08,1390/10/18,16550,16550,16550,16550
2012/01/09,1390/10/19,16900,16900,16900,16900
2012/01/10,1390/10/20,16900,16900,16900,16900
2012/01/11,1390/10/21,16920,16920,16920,16920
2012/01/12,1390/10/22,16950,16950,16950,16950
2012/01/16,1390/10/26,16900,16900,16900,16900
2012/01/17,1390/10/27,17400,17400,17400,17400
2012/01/18,1390/10/28,18200,18200,18200,18200
2012/01/19,1390/10/29,18200,18200,18200,18200
2012/01/21,1390/11/01,19000,19000,19000,19000
2012/01/23,1390/11/03,21000,21000,21000,21000
2012/01/25,1390/11/05,19000,19000,19000,19000
2012/01/26,1390/11/06,17000,17000,17000,17000
2012/01/28,1390/11/08,17700,17700,17700,17700
2012/01/29,1390/11/09,18300,18300,18300,18300
2012/01/30,1390/11/10,18300,18300,18300,18300
2012/02/01,1390/11/12,18300,18300,18300,18300
2012/02/04,1390/11/15,17750,17750,17750,17750
